"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"Downloadable Information","Downloadable Information"
"To enable the option set the weight to no","To enable the option set the weight to no"
"Is this downloadable Product?","Is this downloadable Product?"
Links,Links
Title,Title
"Links can be purchased separately","Links can be purchased separately"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Add Link","Add Link"
Price,Price
File,File
Sample,Sample
Shareable,Shareable
"Max. Downloads","Max. Downloads"
Unlimited,Unlimited
Samples,Samples
sample,sample
SKU,SKU
U,U
